Material Typ;Kategorie;UUID;Name;MaterialTemplatesID;Bezugsgröße;Bezugseinheit;Dichte [kg/m3];Flächendichte [kg/m2];Längengewicht [kg/m];Umrechnungsfaktor auf 1kg;Wärmeleitfähigkeit [W/m*K];spez. Wärmekapazität [kJ/kg*K];EPD Modul;GWP;ODP;POCP;AP;EP;PENRT;PENRM;PENRE;PERT;PERM;PERE;ADPE;ADPF;costs;weblink oekobaudat;weblink erw. Stoffeigen;weblink Kosten
Sonstige;Energieträger - Bereitstellung frei Verbraucher;a41fb265-cb84-42ef-9940-f76c475805ce;Fernwärme Mix;;3.6;MJ;;;;;;;B6;0.261376656;4.24E-13;3.23E-05;0.000316733;4.74E-05;3.02725963;0;3.02725963;0.299220726;0;0.299220726;1.78E-08;3.013118275;0.11;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a41fb265-cb84-42ef-9940-f76c475805ce;;
Sonstige;Energieträger - Bereitstellung frei Verbraucher;e26920b5-c0df-4feb-95a3-d6d38fe7871e;Flüssiggas;;1;kg;;;;1;;;B6;0.761361034;4.45E-12;0.000435541;0.002676733;0.000173977;53.86117315;0;53.86117315;0.165390175;0;0.165390175;1.45E-07;53.69800501;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e26920b5-c0df-4feb-95a3-d6d38fe7871e;;
Sonstige;Energieträger - Bereitstellung frei Verbraucher;0e3d8f80-46f0-4f9f-95dc-01e692eb8d4e;Heizöl el;;1;kg;;;;1;;;B6;0.444252461;3.66E-12;0.000347233;0.001799768;0.000121627;50.32471468;0;50.32471468;0.135653621;0;0.135653621;1.35E-07;50.18987554;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0e3d8f80-46f0-4f9f-95dc-01e692eb8d4e;;
Sonstige;Energieträger - Bereitstellung frei Verbraucher;8f537b85-e2a2-4177-8799-da1d9d6f4ae9;Heizöl s;;1;kg;;;;1;;;B6;0.417796864;3.09E-12;0.000309299;0.001649647;0.000110526;43.77131817;0;43.77131817;0.114415905;0;0.114415905;1.17E-07;43.65744354;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=8f537b85-e2a2-4177-8799-da1d9d6f4ae9;;
Sonstige;Energieträger - Bereitstellung frei Verbraucher;4f4cdf6b-4419-4727-b1ad-00facf104237;Holzpellets (6,2% Feuchte / 5,8% Wassergehalt);;1;kg;;;;1;;;B6;-1.613439188;3.92E-12;5.15E-05;0.00054311;8.57E-05;1.314458349;0;1.314458349;2.679963487;0;2.679963487;1.16E-08;1.175242384;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=4f4cdf6b-4419-4727-b1ad-00facf104237;;
Sonstige;Energieträger - Bereitstellung frei Verbraucher;6619216d-9c9c-4a5e-b5fb-a624e300ff67;Photovoltaiksystem 1000 kWh/m2*a;;1;m2;;;;;;;A1 - A3;208.4907707;4.87E-08;0.108084828;0.782344338;0.061997492;3124.562476;0;3124.562476;998.3984057;0;998.3984057;0.026469783;2701.450326;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=6619216d-9c9c-4a5e-b5fb-a624e300ff67;;
Sonstige;Energieträger - Bereitstellung frei Verbraucher;6619216d-9c9c-4a5e-b5fb-a624e300ff67;Photovoltaiksystem 1000 kWh/m2*a;;1;m2;;;;;;;B6;0;0;0;0;0;0;0;0;79200;0;79200;0;0;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=6619216d-9c9c-4a5e-b5fb-a624e300ff67;;
Sonstige;Energieträger - Bereitstellung frei Verbraucher;6619216d-9c9c-4a5e-b5fb-a624e300ff67;Photovoltaiksystem 1000 kWh/m2*a;;1;m2;;;;;;;C3;0;0;0;0;0;0;0;0;0;0;0;0;0;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=6619216d-9c9c-4a5e-b5fb-a624e300ff67;;
Sonstige;Energieträger - Bereitstellung frei Verbraucher;6619216d-9c9c-4a5e-b5fb-a624e300ff67;Photovoltaiksystem 1000 kWh/m2*a;;1;m2;;;;;;;C4;12.25872444;2.90E-10;0.002463908;0.031331326;0.005535061;79.62276526;0;79.62276526;10.89020653;0;10.89020653;1.57E-05;69.69871451;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=6619216d-9c9c-4a5e-b5fb-a624e300ff67;;
Sonstige;Energieträger - Bereitstellung frei Verbraucher;6619216d-9c9c-4a5e-b5fb-a624e300ff67;Photovoltaiksystem 1000 kWh/m2*a;;1;m2;;;;;;;D;-1262.328593;-1.30E-07;-0.164132488;-2.162095027;-0.273630661;-17193.43367;0;-17193.43367;-4687.256848;0;-4687.256848;-0.019573712;-12781.38924;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=6619216d-9c9c-4a5e-b5fb-a624e300ff67;;
