Material Typ;Material Typ;Kategorie;UUID;Name;MaterialTemplatesID;Bezugsgröße;Bezugseinheit;Dichte [kg/m3];Flächendichte [kg/m2];Längengewicht [kg/m];Umrechnungsfaktor auf 1kg;Wärmeleitfähigkeit [W/m*K];spez. Wärmekapazität [kJ/kg*K];EPD Modul;GWP;ODP;POCP;AP;EP;PENRT;PENRM;PENRE;PERT;PERM;PERE;ADPE;ADPF;costs;WDVS;weblink oekobaudat;weblink erw. Stoffeigen;weblink Kosten
Holz;Holz;Holzwerkstoffe;5c5432a6-2def-4fae-a094-77cf2e624232;3- und 5-Schicht Massivholzplatte (Durchschnitt DE);0abb8a99-83ff-11e6-b165-2cd444b2e704, 0abaa037-83ff-11e6-808c-2cd444b2e704;1;m3;510.45;;;0.001959056;;;A1 - A3;-1.257713952;5.05E-08;0.000246841;0.001169556;0.000254677;5.81839632;0.348711968;5.46576624;19.7864656;16.61279488;3.27162352;7.15E-07;4.07483648;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5c5432a6-2def-4fae-a094-77cf2e624232;;
Holz;Holz;Holzwerkstoffe;5c5432a6-2def-4fae-a094-77cf2e624232;3- und 5-Schicht Massivholzplatte (Durchschnitt DE);0abb8a99-83ff-11e6-b165-2cd444b2e704, 0abaa037-83ff-11e6-808c-2cd444b2e704;1;m3;510.45;;;0.001959056;;;A1;-1.467332944;7.97E-09;7.50E-05;0.000403566;0.000116564;2.03741824;0.348711968;1.68478816;17.7294568;16.61279488;1.11666192;5.27E-07;1.759232288;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5c5432a6-2def-4fae-a094-77cf2e624232;;
Holz;Holz;Holzwerkstoffe;5c5432a6-2def-4fae-a094-77cf2e624232;3- und 5-Schicht Massivholzplatte (Durchschnitt DE);0abb8a99-83ff-11e6-b165-2cd444b2e704, 0abaa037-83ff-11e6-808c-2cd444b2e704;1;m3;510.45;;;0.001959056;;;A2;0.038593403;1.60E-10;1.72E-05;0.000167499;3.84E-05;0.542658512;0;0.542658512;0.000981487;0;0.000981487;1.14E-09;0.536781344;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5c5432a6-2def-4fae-a094-77cf2e624232;;
Holz;Holz;Holzwerkstoffe;5c5432a6-2def-4fae-a094-77cf2e624232;3- und 5-Schicht Massivholzplatte (Durchschnitt DE);0abb8a99-83ff-11e6-b165-2cd444b2e704, 0abaa037-83ff-11e6-808c-2cd444b2e704;1;m3;510.45;;;0.001959056;;;A3;0.171025589;4.23E-08;0.00015359;0.000597512;0.000100695;3.2324424;0;3.2324424;2.13537104;0;2.13537104;1.88E-07;1.780781904;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5c5432a6-2def-4fae-a094-77cf2e624232;;
Holz;Holz;Holzwerkstoffe;5c5432a6-2def-4fae-a094-77cf2e624232;3- und 5-Schicht Massivholzplatte (Durchschnitt DE);0abb8a99-83ff-11e6-b165-2cd444b2e704, 0abaa037-83ff-11e6-808c-2cd444b2e704;1;m3;510.45;;;0.001959056;;;C2;0.000907043;1.81E-12;4.21E-07;3.90E-06;9.03E-07;0.012870998;0;0.012870998;1.70E-05;0;1.70E-05;1.92E-11;0.012812226;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5c5432a6-2def-4fae-a094-77cf2e624232;;
Holz;Holz;Holzwerkstoffe;5c5432a6-2def-4fae-a094-77cf2e624232;3- und 5-Schicht Massivholzplatte (Durchschnitt DE);0abb8a99-83ff-11e6-b165-2cd444b2e704, 0abaa037-83ff-11e6-808c-2cd444b2e704;1;m3;510.45;;;0.001959056;;;C3;1.58683536;2.33E-09;9.09E-07;1.37E-05;1.15E-06;-0.176706851;-0.348711968;0.172005117;-16.60358732;-16.61279488;0.009207563;2.41E-10;0.090508387;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5c5432a6-2def-4fae-a094-77cf2e624232;;
Holz;Holz;Holzwerkstoffe;5c5432a6-2def-4fae-a094-77cf2e624232;3- und 5-Schicht Massivholzplatte (Durchschnitt DE) [stoffl. Verwertung];0abb8a99-83ff-11e6-b165-2cd444b2e704, 0abaa037-83ff-11e6-808c-2cd444b2e704;1;m3;510.45;;;0.001959056;;;D;-0.018846119;-1.39E-09;-1.20E-05;-9.48E-05;-2.04E-05;0.321285184;0;0.321285184;0;0;0;-7.25E-10;-0.286022176;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5c5432a6-2def-4fae-a094-77cf2e624232;;
Holz;Holz;Holzwerkstoffe;5c5432a6-2def-4fae-a094-77cf2e624232;3- und 5-Schicht Massivholzplatte (Durchschnitt DE) [therm. Verwertung];0abb8a99-83ff-11e6-b165-2cd444b2e704, 0abaa037-83ff-11e6-808c-2cd444b2e704;1;m3;510.45;;;0.001959056;;;D;-0.717014496;-1.64E-07;-4.94E-05;-0.000736605;-6.88E-06;-14.99069651;0;-14.99069651;15.95651112;0;15.95651112;-1.23E-08;-8.07131072;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5c5432a6-2def-4fae-a094-77cf2e624232;;
Beschichtungen;Beschichtungen;Reaktionsharze;0405a6ed-0ca9-4ee1-a4b3-f89abf711013;Abdichtungen im Verbund auf Basis von Epoxidharzen, gefüllt oder wässrig, gefüllt mit hohem Gehalt an Füllstoffen;;1;kg;;;;1;;;A1 - A3;2.66;3.46E-08;0.0012;0.00511;0.000584;68.5;22.7;45.8;2.95;0.73;2.22;1.10E-06;67.6;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0405a6ed-0ca9-4ee1-a4b3-f89abf711013;;
Beschichtungen;Beschichtungen;Reaktionsharze;0405a6ed-0ca9-4ee1-a4b3-f89abf711013;Abdichtungen im Verbund auf Basis von Epoxidharzen, gefüllt oder wässrig, gefüllt mit hohem Gehalt an Füllstoffen;;1;kg;;;;1;;;A4;0.0251;1.35E-12;-6.85E-05;0.000159;3.95E-05;0.347;;;0.0138;;;1.15E-09;0.347;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0405a6ed-0ca9-4ee1-a4b3-f89abf711013;;
Beschichtungen;Beschichtungen;Reaktionsharze;0405a6ed-0ca9-4ee1-a4b3-f89abf711013;Abdichtungen im Verbund auf Basis von Epoxidharzen, gefüllt oder wässrig, gefüllt mit hohem Gehalt an Füllstoffen;;1;kg;;;;1;;;A5;0.0908;3.84E-12;0.00722;1.25E-05;2.51E-06;0.0255;;;0.00187;;;1.64E-09;0.0255;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0405a6ed-0ca9-4ee1-a4b3-f89abf711013;;
Beschichtungen;Beschichtungen;Reaktionsharze;0405a6ed-0ca9-4ee1-a4b3-f89abf711013;Abdichtungen im Verbund auf Basis von Epoxidharzen, gefüllt oder wässrig, gefüllt mit hohem Gehalt an Füllstoffen;;1;kg;;;;1;;;D;-0.157;-6.07E-11;-7.22E-05;-0.000491;-4.10E-05;-1.93;;;-0.0341;;;-6.81E-09;-1.93;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0405a6ed-0ca9-4ee1-a4b3-f89abf711013;;
Beschichtungen;Beschichtungen;Reaktionsharze;b7420042-8d47-4461-a946-3f42e26f2fa3;Abdichtungen im Verbund auf Basis von Epoxidharzen, gefüllt oder wässrig, gefüllt mit niedrigem Gehalt an Füllstoffen;;1;kg;;;;1;;;A1 - A3;6.09;4.42E-08;0.00191;0.00906;0.0013;121;28.8;92.2;3.18;0;3.18;1.19E-05;120;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=b7420042-8d47-4461-a946-3f42e26f2fa3;;
Beschichtungen;Beschichtungen;Reaktionsharze;b7420042-8d47-4461-a946-3f42e26f2fa3;Abdichtungen im Verbund auf Basis von Epoxidharzen, gefüllt oder wässrig, gefüllt mit niedrigem Gehalt an Füllstoffen;;1;kg;;;;1;;;A4;0.0251;1.35E-12;-6.85E-05;0.000159;3.95E-05;0.347;;;0.0138;;;1.15E-09;0.347;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=b7420042-8d47-4461-a946-3f42e26f2fa3;;
Beschichtungen;Beschichtungen;Reaktionsharze;b7420042-8d47-4461-a946-3f42e26f2fa3;Abdichtungen im Verbund auf Basis von Epoxidharzen, gefüllt oder wässrig, gefüllt mit niedrigem Gehalt an Füllstoffen;;1;kg;;;;1;;;A5;0.0908;3.84E-12;0.00722;1.25E-05;2.51E-06;0.0255;;;0.00187;;;1.64E-09;0.0255;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=b7420042-8d47-4461-a946-3f42e26f2fa3;;
Beschichtungen;Beschichtungen;Reaktionsharze;b7420042-8d47-4461-a946-3f42e26f2fa3;Abdichtungen im Verbund auf Basis von Epoxidharzen, gefüllt oder wässrig, gefüllt mit niedrigem Gehalt an Füllstoffen;;1;kg;;;;1;;;D;-0.157;-6.07E-11;-7.22E-05;-0.000491;-4.10E-05;-1.93;;;-0.0341;;;-6.81E-09;-1.93;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=b7420042-8d47-4461-a946-3f42e26f2fa3;;
Beschichtungen;Beschichtungen;Reaktionsharze;5a011a01-b506-4568-87f1-d4b2de3795c8;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit hohem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;A1 - A3;12.3;2.06E-08;0.0033;0.0165;0.00282;203;30;173;7.32;0;7.32;3.18E-05;203;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5a011a01-b506-4568-87f1-d4b2de3795c8;;
Beschichtungen;Beschichtungen;Reaktionsharze;5a011a01-b506-4568-87f1-d4b2de3795c8;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit hohem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;A4;0.0251;1.35E-12;-6.85E-05;0.000159;3.95E-05;0.347;;;0.0138;;;1.15E-09;0.347;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5a011a01-b506-4568-87f1-d4b2de3795c8;;
Beschichtungen;Beschichtungen;Reaktionsharze;5a011a01-b506-4568-87f1-d4b2de3795c8;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit hohem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;A5;0.0908;3.84E-12;0.00722;1.25E-05;2.51E-06;0.0255;;;0.00187;;;1.64E-09;0.0255;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5a011a01-b506-4568-87f1-d4b2de3795c8;;
Beschichtungen;Beschichtungen;Reaktionsharze;5a011a01-b506-4568-87f1-d4b2de3795c8;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit hohem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;D;-0.157;-6.07E-11;-7.22E-05;-0.000491;-4.10E-05;-1.93;;;-0.0341;;;-6.81E-09;-1.93;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5a011a01-b506-4568-87f1-d4b2de3795c8;;
Beschichtungen;Beschichtungen;Reaktionsharze;adfb3558-77a7-4493-bcf4-2eff5b6dc24d;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit niedrigem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;A1 - A3;5.99;4.75E-08;0.00189;0.009;0.00127;122;30;92;3.03;0;3.03;1.14E-05;120;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=adfb3558-77a7-4493-bcf4-2eff5b6dc24d;;
Beschichtungen;Beschichtungen;Reaktionsharze;adfb3558-77a7-4493-bcf4-2eff5b6dc24d;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit niedrigem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;A4;0.0251;1.35E-12;-6.85E-05;0.000159;3.95E-05;0.347;;;0.0138;;;1.20E-09;0.347;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=adfb3558-77a7-4493-bcf4-2eff5b6dc24d;;
Beschichtungen;Beschichtungen;Reaktionsharze;adfb3558-77a7-4493-bcf4-2eff5b6dc24d;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit niedrigem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;A5;0.0908;3.84E-12;0.00722;1.25E-05;2.51E-06;0.0255;;;0.00187;;;1.60E-09;0.0255;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=adfb3558-77a7-4493-bcf4-2eff5b6dc24d;;
Beschichtungen;Beschichtungen;Reaktionsharze;adfb3558-77a7-4493-bcf4-2eff5b6dc24d;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit niedrigem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;D;-0.157;-1.00E-10;-7.22E-05;-0.000491;-4.10E-05;-1.93;;;-0.0341;;;-6.80E-09;-1.93;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=adfb3558-77a7-4493-bcf4-2eff5b6dc24d;;
Beschichtungen;Beschichtungen;Reaktionsharze;ac2df709-316a-4126-aa13-a9ab0964447e;Abdichtungen im Verbund auf Basis von Epoxidharzen, wässrig, ungefüllt;;1;kg;;;;1;;;A1 - A3;3.3;4.52E-08;0.00139;0.00657;0.000832;78.6;21.5;57;5.5;1.57;3.93;5.03E-06;77.5;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=ac2df709-316a-4126-aa13-a9ab0964447e;;
